3120,112237,1600,Exposición de Arte Contemporáneo,Galería de Arte Moderno,Arte Vivo,linkimagen4,Exposición,500.0,1,2024-11-20,2,33270000,550,43803000,750
3121,112238,1700,Carrera de 5K,Circuito Urbano de la Ciudad,Maratón Ciudad,linkimagen5,Carrera,1200.0,1,2024-05-12,2,33271000,560,43804000,780
3122,112239,1800,Campeonato de Fútbol Juvenil,Complejo Deportivo Municipal,Fútbol Joven,linkimagen6,Torneo,1300.0,1,2024-06-25,2,43805000,800,33272000,570
3123,112240,1900,Seminario de Salud y Bienestar,Centro de Conferencias Saludables,Salud Integral,linkimagen7,Seminario,1100.0,1,2024-07-30,2,33273000,580,43806000,810
3124,112241,2000,Gala Benéfica Anual,Hotel Grand Lux,Benéfica Esperanza,linkimagen8,Gala,1400.0,1,2024-08-18,2,43807000,830,33274000,590
3125,112242,2100,Festival de Cine Independiente,Teatro Independencia,Cine Libre,linkimagen9,Festival,900.0,1,2024-09-14,2,43808000,820,33275000,600
3126,112243,2200,Encuentro de Emprendedores,Centro de Negocios Internacional,Emprende Hoy,linkimagen10,Encuentro,1600.0,1,2024-10-22,2,33276000,610,43809000,840
3116,112233,1200,Torneo de Tenis Internacional,Estadio Nacional de Tenis,Torneo Random,linkdeimagen,Torneo,1200.0,1,2024-08-12,2,33265988,512,43798295,790
3117,112234,1300,Festival de Música Verano,Parque Central de la Ciudad,Festival Alegría,linkimagen1,Concierto,1500.0,2,2024-07-15,2,43800000,800,33267000,520,2024-09-12,2,34003009,2,43798286,1275
3118,112235,1400,Feria de Tecnología,Centro de Convenciones Tecnológicas,Tech Expo,linkimagen2,Feria,2000.0,1,2024-09-10,5,43801000,850,33268000,530,43798286,1380,43798286,1381,43798286,1399
3119,112236,1500,Conferencia de Innovación,Auditorio de Innovación y Desarrollo,Innovación Global,linkimagen3,Conferencia,1000.0,1,2024-10-05,1,43798286,1470
